X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
-98.2063,19.0414,392,Puebla,Mexico,2020/09/05 09:28:32+00,19.0414,-98.2063,27704,22956,3635,1113,,,"Puebla, Mexico"
-100.3899,20.5888,393,Queretaro,Mexico,2020/09/05 09:28:32+00,20.5888,-100.3899,6882,5323,774,785,,,"Queretaro, Mexico"
-88.4791,19.1817,394,Quintana Roo,Mexico,2020/09/05 09:28:32+00,19.1817,-88.4791,10616,8532,1426,658,,,"Quintana Roo, Mexico"
-100.9855,22.1565,395,San Luis Potosi,Mexico,2020/09/05 09:28:32+00,22.1565,-100.9855,18952,16391,1243,1318,,,"San Luis Potosi, Mexico"
-107.4795,25.1721,396,Sinaloa,Mexico,2020/09/05 09:28:32+00,25.1721,-107.4795,16589,13009,2855,725,,,"Sinaloa, Mexico"
-110.3309,29.2972,397,Sonora,Mexico,2020/09/05 09:28:32+00,29.2972,-110.3309,21923,18395,2681,847,,,"Sonora, Mexico"
-92.6189,17.8409,398,Tabasco,Mexico,2020/09/05 09:28:32+00,17.8409,-92.6189,29012,25174,2631,1207,,,"Tabasco, Mexico"
-98.8363,24.2669,399,Tamaulipas,Mexico,2020/09/05 09:28:32+00,24.2669,-98.8363,25036,22132,1870,1034,,,"Tamaulipas, Mexico"
-98.2404,19.3139,400,Tlaxcala,Mexico,2020/09/05 09:28:32+00,19.3139,-98.2404,6601,5404,932,265,,,"Tlaxcala, Mexico"
-96.1342,19.1738,401,Veracruz,Mexico,2020/09/05 09:28:32+00,19.1738,-96.1342,29135,23876,3772,1487,,,"Veracruz, Mexico"
-89.0943,20.7099,402,Yucatan,Mexico,2020/09/05 09:28:32+00,20.7099,-89.0943,15389,12643,1367,1379,,,"Yucatan, Mexico"
-102.5832,22.7709,403,Zacatecas,Mexico,2020/09/05 09:28:32+00,22.7709,-102.5832,5663,4480,528,655,,,"Zacatecas, Mexico"
28.3699,47.4116,404,,Moldova,2020/09/05 09:28:32+00,47.4116,28.3699,38906,27017,1047,10842,,,Moldova
7.4167,43.7333,405,,Monaco,2020/09/05 09:28:32+00,43.7333,7.4167,147,97,1,49,,,Monaco
103.8467,46.8625,406,,Mongolia,2020/09/05 09:28:32+00,46.8625,103.8467,310,296,0,14,,,Mongolia
19.37439,42.708678,407,,Montenegro,2020/09/05 09:28:32+00,42.708678,19.37439,5275,4203,106,966,,,Montenegro
-7.0926,31.7917,408,,Morocco,2020/09/05 09:28:32+00,31.7917,-7.0926,68605,52483,1292,14830,,,Morocco
35.529562,-18.665695,409,,Mozambique,2020/09/05 09:28:32+00,-18.665695,35.529562,4265,2511,26,1728,,,Mozambique
18.4904,-22.9576,410,,Namibia,2020/09/05 09:28:32+00,-22.9576,18.4904,8323,3611,87,4625,,,Namibia
84.25,28.1667,411,,Nepal,2020/09/05 09:28:32+00,28.1667,84.25,44236,25561,271,18404,,,Nepal
-69.9683,12.5211,412,Aruba,Netherlands,2020/09/05 09:28:32+00,12.5211,-69.9683,2358,1119,13,1226,,,"Aruba, Netherlands"
-68.2385,12.1784,413,"Bonaire, Sint Eustatius and Saba",Netherlands,2020/09/05 09:28:32+00,12.1784,-68.2385,18,7,0,11,,,"Bonaire, Sint Eustatius and Saba, Netherlands"
